Descripción IROs,Impacto / Riesgo / Oportunidad
La alianza estratégica con Moderna para desarrollar futuras vacunas de ARNm.,
Adhesión al Sistema Europeo de Verificación de Medicamentos: control y trazabilidad de medicamentos.,Impacto positivo
"Sistema de Farmacovigilancia: monitorización para identificar, evaluar y prevenir riesgos de medicamentos.",
Detección de problemas de calidad en productos fabricados y/o comercializados por ROVI.,Impacto negativo
"Cumplimiento de normas, auditorías y controles para garantizar la salud y seguridad de clientes y pacientes.",
Procedimiento para la identificación y tratamiento de medicamentos falsificados de ROVI para el correcto tratamiento de estos.,Impacto positivo
Anticipación de un competidor en la investigación y registro de productos en proyectos de I+D de ROVI.,
Anticipación de un competidor en la investigación de productos en proyectos de I+D de ROVI.,Riesgo
Acciones de la competencia de aprobación de medicamentos sustitutivos de productos de ROVI.,
Pérdida de trazabilidad por importaciones paralelas de productos de ROVI liberados en otros mercados.,Riesgo
Posible introducción de medidas de austeridad para reducir la factura farmacéutica de la administración.,
Investigar y analizar las necesidades de salud y enfermedades prioritarias de diferentes países.,Oportunidad
