Nivel cadena de valor,Descripción IRO,Impacto/ Riesgo/ Oportunidad,Real/ Potencial,Horizonte temporal,Políticas relacionadas
"Gestión de las relaciones con los proveedores, incluidas las prácticas de pago",,,,,
Operaciones propias,"El establecimiento de procedimientos en materia de calidad y medioambiente para la contratación de proveedores garantiza el cumplimiento de los principios éticos, sociales y ambientales exigidos por ROVI.",Impacto positivo,Real,< 1 año,• Procedimiento de Evaluación y Aprobación de Proveedores
Bienestar animal,,,,,
Aguas arriba,"El cumplimiento del sistema de calidad de Buenas Prácticas de Laboratorio por parte de los proveedores con los que colabora ROVI, garantiza el bienestar animal en los procesos de investigación.",Impacto positivo,Real,< 1 año,• Política de Animal
Operaciones propias,La sustitución de estudios con animales por métodos alternativos como ensayos in vitro o modelos matemáticos reduce el uso de animales en los procesos de investigación.,Impacto positivo,Real,< 1 año,Testing
Compromiso político y actividades de los grupos de presión,,,,,
Operaciones propias,"A través de actividades de grupos de presión transparentes y alineadas con el interés público, ROVI puede influir para que se desarrollen políticas que mejoren el acceso a tratamientos innovadores, reduzcan barreras regulatorias innecesarias y promuevan la sostenibilidad del sistema sanitario.",Impacto positivo,Real,< 1 año,• Política de Competencia • Política Antisoborno y Anticorrupción • Política de Cumplimiento Normativo • Política de Prevención de Conflicto de Interés
Corrupción y soborno,,,,,
Operaciones propias,"La Política Antisoborno y Anticorrupción de ROVI rechaza cualquier práctica de corrupción o soborno para la obtención de intereses particulares, lo que promueve la transparencia y refuerza la lucha contra estas prácticas.",Impacto positivo,Real,< 1 año,• Política Antisoborno y Anticorrupción
A lo largo de la cadena de valor,Los procedimientos con los que cuenta ROVI sobre prevención del blanqueo de capitales y financiación del terrorismo contribuyen a evitar estas prácticas.,Impacto positivo,Real,< 1 año,
