Política,Contenido fundamental,Alcance,Nivel de aprobación
Política de Sostenibilidad en materia Medioambiental y Social,"Define los objetivos de ROVI en materia medioambiental y social, estableciendo principios de actuación relacionados con sus grupos de interés, los métodos de seguimiento y gestión de riesgos, los mecanismos de supervisión del riesgo no financiero, los canales de comunicación y las prácticas de comunicación responsable. Asimismo, tiene como fin gestionar de forma responsable los riesgos y oportunidades derivados de la evolución del entorno y maximizar los impactos positivos de su actividad en los territorios en los que opera.",Todas las sociedades del Grupo,Consejo de Administración
Política Energética,"Establece los principios y compromisos de actuación en la planta de Granada, orientados a la reducción de emisiones de gases de efecto invernadero relacionados con el consumo de energía. Adicionalmente, hace referencia a la implantación de un sistema de gestión energética que permita el uso eficiente de los recursos energéticos.",Planta de Granada,Director Industrial del Grupo
Política de Derechos Humanos,"Declara el compromiso de ROVI con la protección de los Derechos Humanos como miembro del Pacto Mundial de la ONU. Además, establece principios y compromisos para garantizar dicha protección en torno a sus grupos de interés conforme a la Carta Internacional de los Derechos Humanos y los convenios fundamentales de la OIT.15",Todas las sociedades del Grupo,Presidente de la Compañía
Código Ético,"Establece los requisitos básicos de conducta empresarial para los trabajadores de ROVI y guía sus relaciones con los grupos de interés. Además, define el compromiso del Grupo de no discriminación y de protección de los derechos humanos y laborales en todas sus operaciones y las realizadas por terceros, conforme a marcos internacionales como la Declaración Universal de Derechos Humanos, los convenios de la OIT, el Pacto Mundial de la ONU y las Líneas Directrices de la OCDE.",Todos los trabajadores del Grupo,Presidente de la Compañía
Política de Seguridad y Salud en el Trabajo,"Define los principios y compromisos de ROVI para promover una cultura preventiva, con un entorno de trabajo seguro donde se garantice la integridad y bienestar de las personas. Asimismo, se detalla la existencia de un sistema de gestión de seguridad y salud certificado por la norma ISO 45001 que permite evaluar e implementar herramientas y tecnologías.",Todas las sociedades del Grupo,Presidente de la Compañía
Política de Conciliación Vida Laboral y Personal,Recoge medidas de conciliación respecto a la flexibilidad laboral y a los complementos salariales.,Todos los trabajadores del Grupo,Director de RRHH
Política de Remuneraciones de los miembros del Consejo de Administración,"Determina los principios en los que se basa la remuneración de los mismos, incluyendo la moderación y adecuación a las mejores prácticas del mercado, la proporcionalidad y la compatibilidad.",Miembros del Consejo de Administración,Junta General de Accionistas
Política de Formación y Desarrollo,"Describe los pasos para identificar necesidades y planificar acciones formativas, y establece los procedimientos para la correcta puesta en marcha, organización, desarrollo e impartición de los cursos de formación. Además, se definen los niveles y métodos de evaluación y control del proceso formativo.",Todos los trabajadores del Grupo,Director de RRHH
Política de Registro Horario16,"Establece las normas para registrar las horas trabajadas, asegurando el cumplimiento legal, la transparencia y el respeto a los límites horarios, contribuyendo al bienestar de los empleados y evitando conflictos laborales. Esta política ha sido actualizada en 2025 con el objetivo de ofrecer mayor flexibilidad horaria.",Todos los centros de trabajo del Grupo17,Director de RRHH
Política de Uso de Recursos TIC,"Contiene las normas de uso y procedimientos que deben aplicarse en el uso de los recursos de tecnologías de la información y de comunicación (TIC). Asimismo, detalla las funciones y obligaciones en materia de protección de datos de carácter personal.",Todas las sociedades del Grupo,Presidente de la Compañía
Política del Sistema Interno de Información y Defensa del Informante,"Define los principios generales de actuación, las responsabilidades y los derechos y deberes del informante y del afectado en relación al Canal Ético de ROVI.",Todas las sociedades del Grupo y de cualquier persona informante de fuera de la organización,Consejo de Administración
