Description IRO,Impact/Risk/ Opportunity
Guarantee of animal welfare in research and supplier compliance with Good Laboratory Practice.,
Replacement of studies using animals with in vitro studies or mathematical models. Only engages organisations that ensure animal welfare.,Positive impact
Commitment to the free market and compliance with the rules that regulate it.,
“Zero tolerance” policy in relation to bribery and corruption to satisfy private interests.,Positive impact
Procedures to fight against money-laundering depending on the stakeholder group to which they are applicable.,
The Code of Ethics includes ROVI’s commitment to the principles of business ethics and transparency.,Positive impact
"Regulatory compliance framework that promotes standards of ethics, quality, professionalism and know-how in the pharmaceutical industry.",
Competition Policy: achieve the best result with fair competition and without practices that affect the free market.,Positive impact
Completely transparent tax policy ensures meeting tax obligations with ethical and responsible practices.,
"ESG aspects integrated into ROVI’s ESG Master Plan, involving the Board of Directors’ approval.",Positive impact
Ethics channel available to all employees to report any irregularity.,
Safeguarding of and respect for the intellectual and industrial property of ROVI and third parties.,Positive impact
Protection of minority shareholders through the Board.,
"Mechanisms to avoid conflict: non-executive directors, policies.",Positive impact
"Sustainability objectives of the business, linked to the Board’s variable remuneration. ESG Master Plan.",
Procedures for contracting suppliers required by ROVI in relation to quality and the environment.,Positive impact
